event_id,timestamp,event_type,driver_number,lap_number,lap_duration,is_pit_out_lap,driver_name,team_name,team_colour,compound,tyre_age_at_start,pit_duration
0,2025-05-25 13:04:32.926000,lap,4,2,104.634,False,NOR,McLaren,F47600,MEDIUM,0.0,
1,2025-05-25 13:04:34.127000,lap,16,2,104.769,False,LEC,Ferrari,ED1131,MEDIUM,0.0,
2,2025-05-25 13:04:35.809000,lap,81,2,106.466,False,PIA,McLaren,F47600,MEDIUM,0.0,
3,2025-05-25 13:04:36.598000,lap,1,2,106.318,False,VER,Red Bull Racing,4781D7,HARD,0.0,
4,2025-05-25 13:04:37.162000,lap,6,2,106.692,False,HAD,Racing Bulls,6C98FF,MEDIUM,0.0,
5,2025-05-25 13:04:37.927000,lap,14,2,107.072,False,ALO,Aston Martin,229971,HARD,1.0,
6,2025-05-25 13:04:38.958000,lap,44,2,111.437,False,HAM,Ferrari,ED1131,HARD,0.0,
7,2025-05-25 13:04:39.558000,lap,31,2,111.527,False,OCO,Haas F1 Team,9C9FA2,MEDIUM,0.0,
8,2025-05-25 13:04:40.218000,lap,30,2,112.308,False,LAW,Racing Bulls,6C98FF,MEDIUM,6.0,
9,2025-05-25 13:04:41.152000,lap,23,2,112.152,False,ALB,Williams,1868DB,MEDIUM,4.0,
10,2025-05-25 13:04:42.068000,lap,55,2,111.609,False,SAI,Williams,1868DB,HARD,0.0,
11,2025-05-25 13:04:42.391000,lap,27,2,112.404,False,HUL,Kick Sauber,01C00E,MEDIUM,0.0,
12,2025-05-25 13:04:43.657000,lap,63,2,111.593,False,RUS,Mercedes,00D7B6,HARD,0.0,
13,2025-05-25 13:04:44.341000,lap,12,2,111.408,False,ANT,Mercedes,00D7B6,HARD,0.0,
14,2025-05-25 13:04:46.257000,lap,43,2,110.894,False,COL,Alpine,00A1E8,HARD,0.0,
15,2025-05-25 13:04:47.558000,lap,18,2,109.806,False,STR,Aston Martin,229971,HARD,1.0,
16,2025-05-25 13:05:00.141000,lap,22,2,108.876,True,TSU,Red Bull Racing,4781D7,HARD,0.0,
17,2025-05-25 13:05:00.705000,pit_stop,22,1,,,TSU,Red Bull Racing,4781D7,,,24.5
18,2025-05-25 13:05:01.826000,lap,10,2,108.974,True,GAS,Alpine,00A1E8,MEDIUM,0.0,
19,2025-05-25 13:05:02.475000,pit_stop,10,1,,,GAS,Alpine,00A1E8,,,24.3
20,2025-05-25 13:05:29.445000,lap,87,2,110.654,True,BEA,Haas F1 Team,9C9FA2,HARD,0.0,
21,2025-05-25 13:05:30.195000,pit_stop,87,1,,,BEA,Haas F1 Team,9C9FA2,,,50.1
